Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
2000-10-14,36,12,1,0,0,7,13,11,12,1.0,1.1111111111111112,9.0,6,6,0,0,0,0,0,0,0,0,-0.4444444444444444,0.1111111111111111,-0.1111111111111111,0.0
2000-10-21,11,27,1,0,0,15,15,16,15,1.2,1.0,10.0,8,5,0,0,0,0,0,0,0,0,-0.1,0.0,0.2,0.3
2000-10-21,12,13,6,1,0,13,10,13,15,1.0,1.1,10.0,5,5,0,0,0,0,0,0,0,0,0.0,-0.5,-0.1,0.0
2000-10-21,23,22,1,0,0,16,7,13,5,1.5,1.6,10.0,8,8,0,0,0,0,0,0,0,0,0.3,0.2,-0.1,0.0
2000-10-21,25,21,3,0,0,23,14,8,13,1.8,1.4,10.0,10,7,0,0,0,0,0,0,0,0,1.5,0.1,0.4,0.3
2000-10-21,38,15,3,1,0,12,14,13,23,1.1,0.5,10.0,4,2,0,0,0,0,0,0,0,0,-0.1,-0.9,0.6,0.2
2000-10-28,0,24,5,0,0,15,12,9,14,1.8,1.1,10.0,11,5,0,0,0,0,0,0,0,0,0.6,-0.2,0.7,0.6
2000-10-28,1,11,2,1,0,13,16,9,16,1.4545454545454546,1.3636363636363635,11.0,8,10,0,0,0,0,0,0,0,0,0.3636363636363636,0.0,0.0909090909090909,-0.1818181818181818
2000-10-28,12,38,3,0,0,19,15,14,14,1.181818181818182,1.2727272727272727,11.0,7,4,0,0,0,0,0,0,0,0,0.4545454545454545,0.0909090909090909,-0.0909090909090909,0.2727272727272727
2000-10-28,20,27,2,1,0,14,15,11,16,1.3636363636363635,0.9090909090909092,11.0,11,5,0,0,0,0,0,0,0,0,0.2727272727272727,-0.0909090909090909,0.4545454545454545,0.5454545454545454
2000-10-28,22,15,2,1,0,7,15,6,26,1.4545454545454546,0.4545454545454545,11.0,5,1,0,0,0,0,0,0,0,0,0.0909090909090909,-1.0,1.0,0.3636363636363636
2000-10-28,25,34,5,0,0,26,12,8,15,1.9090909090909087,0.9090909090909092,11.0,10,7,0,0,0,0,0,0,0,0,1.6363636363636365,-0.2727272727272727,1.0,0.2727272727272727
