HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,Year,Month,Day
Derby,Middlesbrough,NH,6,5,7,4,0.5,1.0,4.0,2,4,0,0,0,0,0,0,0,0,-0.25,0.25,-0.5,-0.5,2000,6,9
Leicester,Ipswich,H,1,3,0,4,1.25,1.0,4.0,5,4,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0.25,2000,6,9
Liverpool,Aston Villa,H,4,2,5,4,1.0,0.5,4.0,4,2,0,0,0,0,0,0,0,0,-0.25,-0.5,0.5,0.5,2000,6,9
Bradford,Arsenal,NH,2,7,1,4,1.0,1.5,4.0,4,6,0,0,0,0,0,0,0,0,0.25,0.75,-0.5,-0.5,2000,9,9
Coventry,Leeds,NH,5,5,7,3,1.2,1.4,5.0,6,7,0,0,0,0,0,0,0,0,-0.4,0.4,-0.2,-0.2,2000,9,9
Ipswich,Aston Villa,NH,4,4,6,5,0.8,1.0,5.0,4,5,0,0,0,0,0,0,0,0,-0.4,-0.2,-0.2,-0.2,2000,9,9
Leicester,Southampton,H,3,7,1,8,1.6,0.6,5.0,8,3,0,0,0,0,0,0,0,0,0.4,-0.2,1.0,1.0,2000,9,9
Liverpool,Man City,H,7,7,6,9,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,0.2,2000,9,9
Man United,Sunderland,H,11,4,3,6,1.6,0.8,5.0,8,4,0,0,0,0,0,0,0,0,1.6,-0.4,0.8,0.8,2000,9,9
Middlesbrough,Everton,NH,8,7,7,7,1.0,0.8,5.0,5,4,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.2,2000,9,9
Newcastle,Chelsea,NH,7,7,4,7,1.8,1.0,5.0,9,5,0,0,0,0,0,0,0,0,0.6,0.0,0.8,0.8,2000,9,9
Derby,Charlton,NH,9,8,10,9,0.6,0.8,5.0,3,4,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.2,-0.2,2000,10,9
Tottenham,West Ham,H,7,5,6,8,1.4,0.4,5.0,7,2,0,0,0,0,0,0,0,0,0.2,-0.6,1.0,1.0,2000,11,9
Arsenal,Coventry,H,9,5,6,7,1.4,1.2,5.0,7,6,0,0,0,0,0,0,0,0,0.6,-0.4,0.2,0.2,2000,9,16
Aston Villa,Bradford,H,6,3,5,8,1.3333333333333333,0.8333333333333334,6.0,8,5,0,0,0,0,0,0,0,0,0.1666666666666666,-0.8333333333333334,0.5,0.5,2000,9,16
Charlton,Tottenham,H,10,8,11,6,0.8333333333333334,1.6666666666666667,6.0,5,10,0,0,0,0,0,0,0,0,-0.1666666666666666,0.3333333333333333,-0.8333333333333334,-0.8333333333333334,2000,9,16
Everton,Man United,NH,9,14,8,3,1.1666666666666667,1.8333333333333333,6.0,7,11,0,0,0,0,0,0,0,0,0.1666666666666666,1.8333333333333333,-0.6666666666666666,-0.6666666666666666,2000,9,16
Leeds,Ipswich,NH,6,5,5,8,1.1666666666666667,0.6666666666666666,6.0,7,4,0,0,0,0,0,0,0,0,0.1666666666666666,-0.5,0.5,0.5,2000,9,16
Southampton,Newcastle,H,7,7,9,4,0.5,1.6666666666666667,6.0,3,10,0,0,0,0,0,0,0,0,-0.3333333333333333,0.5,-1.1666666666666667,-1.1666666666666667,2000,9,16
Sunderland,Derby,H,4,11,9,12,0.6666666666666666,0.6666666666666666,6.0,4,4,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.1666666666666666,0.0,0.0,2000,9,16
Chelsea,Leicester,NH,7,4,7,1,1.0,1.8333333333333333,6.0,6,11,0,0,0,0,0,0,0,0,0.0,0.5,-0.8333333333333334,-0.8333333333333334,2000,9,17
Man City,Middlesbrough,NH,9,9,12,9,1.0,0.8333333333333334,6.0,6,5,0,0,0,0,0,0,0,0,-0.5,0.0,0.1666666666666666,0.1666666666666666,2000,9,17
West Ham,Liverpool,NH,5,10,9,8,0.3333333333333333,1.6666666666666667,6.0,2,10,0,0,0,0,0,0,0,0,-0.6666666666666666,0.3333333333333333,-1.3333333333333333,-1.3333333333333333,2000,9,17
Bradford,Southampton,NH,3,7,8,9,0.8333333333333334,0.5,6.0,5,3,0,0,0,0,0,0,0,0,-0.8333333333333334,-0.3333333333333333,0.3333333333333333,0.3333333333333333,2000,9,23
